,LocationID,Borough,Zone
0,141,Manhattan,Lenox Hill West
1,186,Manhattan,Penn Station/Madison Sq West
2,249,Manhattan,West Village
3,158,Manhattan,Meatpacking/West Village West
4,48,Manhattan,Clinton East
5,236,Manhattan,Upper East Side North
6,163,Manhattan,Midtown North
7,87,Manhattan,Financial District North
8,12,Manhattan,Battery Park
9,230,Manhattan,Times Sq/Theatre District
10,100,Manhattan,Garment District
11,237,Manhattan,Upper East Side South
12,262,Manhattan,Yorkville East
13,170,Manhattan,Murray Hill
14,90,Manhattan,Flatiron
15,90,Manhattan,Flatiron
16,161,Manhattan,Midtown Center
17,246,Manhattan,West Chelsea/Hudson Yards
18,263,Manhattan,Yorkville West
19,234,Manhattan,Union Sq
20,229,Manhattan,Sutton Place/Turtle Bay North
21,163,Manhattan,Midtown North
22,161,Manhattan,Midtown Center
23,234,Manhattan,Union Sq
24,231,Manhattan,TriBeCa/Civic Center
25,161,Manhattan,Midtown Center
26,151,Manhattan,Manhattan Valley
27,238,Manhattan,Upper West Side North
28,100,Manhattan,Garment District
29,236,Manhattan,Upper East Side North
30,113,Manhattan,Greenwich Village North
31,231,Manhattan,TriBeCa/Civic Center
32,132,Queens,JFK Airport
33,140,Manhattan,Lenox Hill East
34,162,Manhattan,Midtown East
35,140,Manhattan,Lenox Hill East
36,107,Manhattan,Gramercy
37,237,Manhattan,Upper East Side South
38,170,Manhattan,Murray Hill
39,141,Manhattan,Lenox Hill West
40,231,Manhattan,TriBeCa/Civic Center
41,43,Manhattan,Central Park
42,162,Manhattan,Midtown East
43,230,Manhattan,Times Sq/Theatre District
44,162,Manhattan,Midtown East
45,158,Manhattan,Meatpacking/West Village West
46,237,Manhattan,Upper East Side South
47,132,Queens,JFK Airport
48,163,Manhattan,Midtown North
49,239,Manhattan,Upper West Side South
50,138,Queens,LaGuardia Airport
51,140,Manhattan,Lenox Hill East
52,151,Manhattan,Manhattan Valley
53,237,Manhattan,Upper East Side South
54,137,Manhattan,Kips Bay
55,237,Manhattan,Upper East Side South
56,264,Unknown,NV
57,107,Manhattan,Gramercy
58,237,Manhattan,Upper East Side South
59,132,Queens,JFK Airport
60,262,Manhattan,Yorkville East
61,236,Manhattan,Upper East Side North
62,246,Manhattan,West Chelsea/Hudson Yards
63,224,Manhattan,Stuy Town/Peter Cooper Village
64,50,Manhattan,Clinton West
65,236,Manhattan,Upper East Side North
66,186,Manhattan,Penn Station/Madison Sq West
67,138,Queens,LaGuardia Airport
68,238,Manhattan,Upper West Side North
69,234,Manhattan,Union Sq
70,237,Manhattan,Upper East Side South
71,239,Manhattan,Upper West Side South
72,263,Manhattan,Yorkville West
73,239,Manhattan,Upper West Side South
74,141,Manhattan,Lenox Hill West
75,142,Manhattan,Lincoln Square East
76,100,Manhattan,Garment District
77,170,Manhattan,Murray Hill
78,79,Manhattan,East Village
79,239,Manhattan,Upper West Side South
80,87,Manhattan,Financial District North
81,113,Manhattan,Greenwich Village North
82,234,Manhattan,Union Sq
83,50,Manhattan,Clinton West
84,132,Queens,JFK Airport
85,43,Manhattan,Central Park
86,236,Manhattan,Upper East Side North
87,239,Manhattan,Upper West Side South
88,143,Manhattan,Lincoln Square West
89,100,Manhattan,Garment District
90,234,Manhattan,Union Sq
91,48,Manhattan,Clinton East
92,142,Manhattan,Lincoln Square East
93,107,Manhattan,Gramercy
94,140,Manhattan,Lenox Hill East
95,113,Manhattan,Greenwich Village North
96,137,Manhattan,Kips Bay
97,230,Manhattan,Times Sq/Theatre District
98,138,Queens,LaGuardia Airport
99,186,Manhattan,Penn Station/Madison Sq West
100,164,Manhattan,Midtown South
101,161,Manhattan,Midtown Center
102,239,Manhattan,Upper West Side South
103,113,Manhattan,Greenwich Village North
104,262,Manhattan,Yorkville East
105,170,Manhattan,Murray Hill
106,79,Manhattan,East Village
107,142,Manhattan,Lincoln Square East
108,162,Manhattan,Midtown East
109,137,Manhattan,Kips Bay
110,236,Manhattan,Upper East Side North
111,162,Manhattan,Midtown East
112,238,Manhattan,Upper West Side North
113,114,Manhattan,Greenwich Village South
114,132,Queens,JFK Airport
115,229,Manhattan,Sutton Place/Turtle Bay North
116,142,Manhattan,Lincoln Square East
117,236,Manhattan,Upper East Side North
118,238,Manhattan,Upper West Side North
119,236,Manhattan,Upper East Side North
120,239,Manhattan,Upper West Side South
121,264,Unknown,NV
122,158,Manhattan,Meatpacking/West Village West
123,141,Manhattan,Lenox Hill West
124,43,Manhattan,Central Park
125,161,Manhattan,Midtown Center
126,211,Manhattan,SoHo
127,238,Manhattan,Upper West Side North
128,142,Manhattan,Lincoln Square East
129,141,Manhattan,Lenox Hill West
130,43,Manhattan,Central Park
131,43,Manhattan,Central Park
132,233,Manhattan,UN/Turtle Bay South
133,170,Manhattan,Murray Hill
134,68,Manhattan,East Chelsea
135,48,Manhattan,Clinton East
