,LocationID,Borough,Zone
0,161,Manhattan,Midtown Center
1,237,Manhattan,Upper East Side South
2,233,Manhattan,UN/Turtle Bay South
3,140,Manhattan,Lenox Hill East
4,13,Manhattan,Battery Park City
5,233,Manhattan,UN/Turtle Bay South
6,48,Manhattan,Clinton East
7,113,Manhattan,Greenwich Village North
8,186,Manhattan,Penn Station/Madison Sq West
9,148,Manhattan,Lower East Side
10,68,Manhattan,East Chelsea
11,87,Manhattan,Financial District North
12,143,Manhattan,Lincoln Square West
13,231,Manhattan,TriBeCa/Civic Center
14,50,Manhattan,Clinton West
15,186,Manhattan,Penn Station/Madison Sq West
16,170,Manhattan,Murray Hill
17,162,Manhattan,Midtown East
18,90,Manhattan,Flatiron
19,163,Manhattan,Midtown North
20,164,Manhattan,Midtown South
21,239,Manhattan,Upper West Side South
22,113,Manhattan,Greenwich Village North
23,262,Manhattan,Yorkville East
24,100,Manhattan,Garment District
25,143,Manhattan,Lincoln Square West
26,236,Manhattan,Upper East Side North
27,166,Manhattan,Morningside Heights
28,262,Manhattan,Yorkville East
29,236,Manhattan,Upper East Side North
30,148,Manhattan,Lower East Side
31,107,Manhattan,Gramercy
32,249,Manhattan,West Village
33,186,Manhattan,Penn Station/Madison Sq West
34,263,Manhattan,Yorkville West
35,246,Manhattan,West Chelsea/Hudson Yards
36,163,Manhattan,Midtown North
37,144,Manhattan,Little Italy/NoLiTa
38,144,Manhattan,Little Italy/NoLiTa
39,141,Manhattan,Lenox Hill West
40,113,Manhattan,Greenwich Village North
41,164,Manhattan,Midtown South
42,237,Manhattan,Upper East Side South
43,87,Manhattan,Financial District North
44,162,Manhattan,Midtown East
45,170,Manhattan,Murray Hill
46,142,Manhattan,Lincoln Square East
47,163,Manhattan,Midtown North
48,237,Manhattan,Upper East Side South
49,170,Manhattan,Murray Hill
50,256,Brooklyn,Williamsburg (South Side)
51,151,Manhattan,Manhattan Valley
52,233,Manhattan,UN/Turtle Bay South
53,234,Manhattan,Union Sq
54,80,Brooklyn,East Williamsburg
55,264,Unknown,NV
56,263,Manhattan,Yorkville West
57,186,Manhattan,Penn Station/Madison Sq West
58,13,Manhattan,Battery Park City
59,237,Manhattan,Upper East Side South
60,170,Manhattan,Murray Hill
61,164,Manhattan,Midtown South
62,236,Manhattan,Upper East Side North
63,211,Manhattan,SoHo
64,138,Queens,LaGuardia Airport
65,163,Manhattan,Midtown North
66,100,Manhattan,Garment District
67,107,Manhattan,Gramercy
68,137,Manhattan,Kips Bay
69,161,Manhattan,Midtown Center
70,125,Manhattan,Hudson Sq
71,142,Manhattan,Lincoln Square East
72,233,Manhattan,UN/Turtle Bay South
73,79,Manhattan,East Village
74,138,Queens,LaGuardia Airport
75,166,Manhattan,Morningside Heights
76,232,Manhattan,Two Bridges/Seward Park
77,162,Manhattan,Midtown East
78,230,Manhattan,Times Sq/Theatre District
79,97,Brooklyn,Fort Greene
80,162,Manhattan,Midtown East
81,162,Manhattan,Midtown East
82,230,Manhattan,Times Sq/Theatre District
83,237,Manhattan,Upper East Side South
84,142,Manhattan,Lincoln Square East
85,68,Manhattan,East Chelsea
86,230,Manhattan,Times Sq/Theatre District
87,234,Manhattan,Union Sq
88,114,Manhattan,Greenwich Village South
89,236,Manhattan,Upper East Side North
90,186,Manhattan,Penn Station/Madison Sq West
91,43,Manhattan,Central Park
92,230,Manhattan,Times Sq/Theatre District
93,186,Manhattan,Penn Station/Madison Sq West
94,170,Manhattan,Murray Hill
95,158,Manhattan,Meatpacking/West Village West
96,163,Manhattan,Midtown North
97,234,Manhattan,Union Sq
98,107,Manhattan,Gramercy
99,170,Manhattan,Murray Hill
100,161,Manhattan,Midtown Center
101,68,Manhattan,East Chelsea
102,100,Manhattan,Garment District
103,141,Manhattan,Lenox Hill West
104,79,Manhattan,East Village
105,114,Manhattan,Greenwich Village South
106,239,Manhattan,Upper West Side South
107,68,Manhattan,East Chelsea
108,238,Manhattan,Upper West Side North
109,255,Brooklyn,Williamsburg (North Side)
110,186,Manhattan,Penn Station/Madison Sq West
111,162,Manhattan,Midtown East
112,230,Manhattan,Times Sq/Theatre District
113,107,Manhattan,Gramercy
114,45,Manhattan,Chinatown
115,68,Manhattan,East Chelsea
116,141,Manhattan,Lenox Hill West
117,186,Manhattan,Penn Station/Madison Sq West
118,229,Manhattan,Sutton Place/Turtle Bay North
119,162,Manhattan,Midtown East
120,263,Manhattan,Yorkville West
121,237,Manhattan,Upper East Side South
122,90,Manhattan,Flatiron
123,68,Manhattan,East Chelsea
124,113,Manhattan,Greenwich Village North
125,79,Manhattan,East Village
126,113,Manhattan,Greenwich Village North
127,238,Manhattan,Upper West Side North
128,237,Manhattan,Upper East Side South
129,90,Manhattan,Flatiron
130,229,Manhattan,Sutton Place/Turtle Bay North
131,231,Manhattan,TriBeCa/Civic Center
132,249,Manhattan,West Village
133,142,Manhattan,Lincoln Square East
134,230,Manhattan,Times Sq/Theatre District
135,230,Manhattan,Times Sq/Theatre District
136,264,Unknown,NV
137,142,Manhattan,Lincoln Square East
138,113,Manhattan,Greenwich Village North
139,114,Manhattan,Greenwich Village South
140,230,Manhattan,Times Sq/Theatre District
141,43,Manhattan,Central Park
142,13,Manhattan,Battery Park City
143,90,Manhattan,Flatiron
144,48,Manhattan,Clinton East
145,170,Manhattan,Murray Hill
146,162,Manhattan,Midtown East
147,233,Manhattan,UN/Turtle Bay South
148,186,Manhattan,Penn Station/Madison Sq West
149,79,Manhattan,East Village
150,162,Manhattan,Midtown East
151,125,Manhattan,Hudson Sq
152,234,Manhattan,Union Sq
153,50,Manhattan,Clinton West
154,239,Manhattan,Upper West Side South
155,48,Manhattan,Clinton East
156,186,Manhattan,Penn Station/Madison Sq West
157,164,Manhattan,Midtown South
158,43,Manhattan,Central Park
159,161,Manhattan,Midtown Center
160,163,Manhattan,Midtown North
161,231,Manhattan,TriBeCa/Civic Center
162,43,Manhattan,Central Park
163,137,Manhattan,Kips Bay
164,74,Manhattan,East Harlem North
165,164,Manhattan,Midtown South
166,141,Manhattan,Lenox Hill West
167,151,Manhattan,Manhattan Valley
168,12,Manhattan,Battery Park
169,236,Manhattan,Upper East Side North
170,237,Manhattan,Upper East Side South
171,142,Manhattan,Lincoln Square East
172,263,Manhattan,Yorkville West
173,113,Manhattan,Greenwich Village North
174,255,Brooklyn,Williamsburg (North Side)
175,90,Manhattan,Flatiron
176,142,Manhattan,Lincoln Square East
177,239,Manhattan,Upper West Side South
178,48,Manhattan,Clinton East
